ID: 1010, Title: Lawrence of Arabia (1962): [0-18: N/A, 18-35: 3.60, 35-50: 3.29, 50+: 4.50]
ID: 1012, Title: Psycho (1960): [0-18: N/A, 18-35: 4.50, 35-50: 3.50, 50+: N/A]
ID: 1013, Title: The Godfather: Part II (1974): [0-18: N/A, 18-35: 3.78, 35-50: 4.25, 50+: N/A]
ID: 1015, Title: Sunset Boulevard (1950): [0-18: N/A, 18-35: 4.17, 35-50: 4.50, 50+: N/A]
ID: 1020, Title: E.T. the Extra-Terrestrial (1982): [0-18: N/A, 18-35: 3.56, 35-50: 3.83, 50+: 3.00]
ID: 1025, Title: The Terminator (1984): [0-18: N/A, 18-35: 4.17, 35-50: 4.05, 50+: 3.75]
ID: 1028, Title: Fight Club (1999): [0-18: N/A, 18-35: 3.50, 35-50: 3.50, 50+: 3.50]
ID: 1030, Title: The Silence of the Lambs (1991): [0-18: N/A, 18-35: 3.00, 35-50: 3.25, 50+: N/A]
ID: 1037, Title: The Lord of the Rings: The Fellowship of the Ring (2001): [0-18: N/A, 18-35: 4.00, 35-50: 3.83, 50+: N/A]
ID: 1039, Title: The Lord of the Rings: The Return of the King (2003): [0-18: N/A, 18-35: 3.83, 35-50: 3.81, 50+: N/A]
ID: 1040, Title: Gladiator (2000): [0-18: N/A, 18-35: 3.44, 35-50: 3.81, 50+: 3.50]
ID: 1043, Title: No Country for Old Men (2007): [0-18: N/A, 18-35: 3.81, 35-50: 3.94, 50+: 4.00]
ID: 1047, Title: The Social Network (2010): [0-18: N/A, 18-35: 4.00, 35-50: 3.67, 50+: N/A]
ID: 1050, Title: Mad Max: Fury Road (2015): [0-18: N/A, 18-35: 3.36, 35-50: 3.64, 50+: N/A]
